Country name,Year,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years
Afghanistan,1950,7480464,301735,1248282,3068855,4494349,4198587,4411609,3946595,258652.02,946547,966210,854363,757113,1241348,909953,661807,467170,271905,92691,9499,123,0
Afghanistan,1951,7571542,299368,1246857,3105444,4552138,4250002,4466098,3993640,254304,947489,991791,866796,768616,1260904,922765,667015,468881,273286,94358,10155,118,0
Afghanistan,1952,7667534,305393,1248220,3145070,4613604,4303436,4522464,4041439,252906,942827,1017993,878857,781411,1280288,935638,672491,470898,274852,96026,10721,139,0
Afghanistan,1953,7764549,311574,1254725,3186382,4676232,4356242,4578167,4088379,258717.02,943151,1039950,891707,794308,1298803,948321,678064,472969,276577,97705,11254,166,0
Afghanistan,1954,7864289,317584,1267817,3231060,4741371,4408474,4633229,4136116,264765,950233,1055592,907651,806216,1316768,961484,684153,475117,278210,99298,11793,190,0
Afghanistan,1955,7971933,323910,1291129,3281470,4812348,4462830,4690463,4187921,270904,967219,1062420,927921,817550,1334989,975801,691279,477664,279789,100839,12342,210,0
Afghanistan,1956,8087730,330888,1322342,3337026,4889244,4520007,4750704,4243047,277351,991454,1063212,951472,828600,1353958,991166,699431,480665,281376,102385,12890,233,0
Afghanistan,1957,8210207,337874,1354752,3396048,4971030,4580195,4814159,4299625,284324,1016878,1065357,975939,839588,1374043,1007440,708537,484018,282918,103932,13428,255,0
Afghanistan,1958,8333827,344796,1387274,3455343,5054113,4641086,4878484,4354701,291151,1042478,1071666,996403,851433,1393789,1023595,717938,487393,284592,105508,13959,277,0
Afghanistan,1959,8468220,352235,1421808,3518528,5144615,4708834,4949692,4413813,298283,1069573,1084972,1011748,867048,1414034,1040441,728233,491447,286551,107136,14495,307,0
Afghanistan,1960,8622473,360625,1459959,3589290,5248506,4788901,5033183,4482237,306163,1099334,1109322,1020009,887989,1436299,1058924,740161,496767,288846,108823,15033,341,0
Afghanistan,1961,8790140,369646,1500407,3665073,5361233,4877386,5125067,4557452,314628,1130761,1141667,1022999,912565,1460115,1078314,753078,502906,291517,110611,15589,372,0
Afghanistan,1962,8969055,379163,1542943,3746297,5480926,4971703,5222758,4638970,323555,1163780,1175707,1027647,938397,1485874,1098423,766675,509685,294607,112532,16161,404,0
Afghanistan,1963,9157463,389219,1587428,3835640,5607303,5067339,5321823,4726155,332832,1198209,1211029,1037183,961248,1513960,1118901,780910,517055,298049,114528,16739,433,0
Afghanistan,1964,9355510,399759,1633951,3934872,5741687,5162526,5420638,4818803,342603,1234192,1247795,1053126,978883,1544927,1139609,796051,525127,301756,116505,17316,464,0
Afghanistan,1965,9565154,410498,1682554,4047408,5885466,5255725,5517746,4916696,352901,1272056,1286357,1078497,988514,1579592,1160752,812301,534048,305702,118437,17900,500,0
Afghanistan,1966,9783153,421632,1732720,4169589,6035895,5347310,5613564,5014887,363279,1311088,1326012,1110857,992297,1616730,1182362,829292,543615,309926,120328,18480,534,0
Afghanistan,1967,10010037,433451,1784849,4296184,6192696,5442957,5713853,5111837,374045,1351398,1366949,1144386,997227,1654591,1204905,847023,553866,314417,122190,19066,568,0
Afghanistan,1968,10247782,445626,1839083,4427898,6356450,5544011,5819883,5205912,385522,1393457,1409679,1179136,1006880,1691010,1228223,865410,564802,319201,124092,19660,605,1
Afghanistan,1969,10494491,458078,1894961,4563995,6525350,5649462,5930495,5298458,397286,1436883,1454012,1215022,1022510,1725204,1251304,883917,576137,324386,126130,20268,639,1
Afghanistan,1970,10752973,470485,1952791,4705422,6700729,5761197,6047550,5396652,409461,1482306,1500161,1252470,1047106,1755368,1274479,902653,588007,330016,128348,20897,676,1
Afghanistan,1971,11015853,483113,2011245,4848646,6878049,5875332,6167206,5497000,421334,1528132,1547072,1290329,1077924,1781762,1297423,921039,599944,336054,130782,21560,718,1
Afghanistan,1972,11286753,496219,2070876,4995574,7060970,5993595,6291178,5601031,433573,1574657,1595534,1329164,1109676,1809740,1321272,939466,612071,342463,133460,22270,760,1
Afghanistan,1973,11575308,510031,2133578,5150746,7258886,6120996,6424560,5713350,446687,1623547,1646808,1370360,1143136,1840429,1347846,958685,625045,349254,136354,23009,802,2
Afghanistan,1974,11869881,524557,2197676,5309219,7466050,6250850,6560659,5828271,460010,1673119,1699028,1412515,1177199,1871140,1376174,977551,638392,356314,139310,23735,844,3
Afghanistan,1975,12157390,538211,2260687,5464735,7676465,6376579,6692652,5939541,473534,1722476,1750177,1453871,1210639,1899643,1405187,994951,651444,363316,142160,24422,890,3
Afghanistan,1976,12425276,550503,2319788,5611222,7879649,6491905,6814051,6041340,485844,1769285,1798469,1492965,1241983,1924528,1432905,1010304,663492,370022,144829,25055,933,3
Afghanistan,1977,12687308,563175,2378107,5755555,8079694,6603845,6931750,6139737,497539,1814932,1845759,1531689,1272726,1949062,1459339,1025191,675277,376303,147261,25615,976,3
Afghanistan,1978,12938864,574930,2433999,5896063,8274419,6710177,7042798,6231714,509205,1859069,1891991,1570073,1302999,1975323,1481658,1038821,686204,381586,149131,26063,1013,3
Afghanistan,1979,12986378,576769,2449104,5944157,8340268,6711039,7042218,6224022,512081,1872335,1909767,1585286,1313848,1975035,1477360,1034940,685523,380300,148190,25993,1029,3
Afghanistan,1980,12486640,553827,2359007,5740462,8054033,6430945,6746174,5954991,492906,1805180,1847335,1534120,1269879,1899019,1405961,986723,655394,362639,140796,24767,996,4
Afghanistan,1981,11155196,493818,2110431,5149800,7226232,5726741,6005392,5294282,440721,1616613,1659830,1379539,1140996,1701347,1239538,873502,581731,321162,124289,21928,899,4
Afghanistan,1982,10088290,445673,1909300,4675917,6563969,5163708,5412369,4764620,398111,1463627,1509932,1256685,1039023,1542984,1106752,782830,522081,287538,110761,19582,818,4
Afghanistan,1983,9951447,439692,1883237,4628135,6500805,5081672,5323308,4679481,392232,1443545,1496584,1248314,1032097,1525986,1079596,766718,510937,280692,107471,19007,804,4
Afghanistan,1984,10243689,452788,1937100,4779803,6719113,5219866,5463881,4795354,403498,1484312,1547077,1295626,1070768,1574663,1099034,784629,521129,285519,108244,19079,816,5
Afghanistan,1985,10512220,466221,1986670,4922083,6925064,5345516,5590133,4897895,413810,1520449,1593531,1341882,1108368,1619447,1114990,801365,529081,289078,108084,18904,816,4
Afghanistan,1986,10448447,468356,1981460,4907730,6910743,5301692,5540714,4847658,414534,1513104,1584431,1341839,1109907,1613642,1094610,792992,520600,284558,105327,18280,798,3
Afghanistan,1987,10322767,466714,1971916,4861989,6851696,5226931,5460775,4772555,415915,1505202,1560683,1329390,1102716,1599276,1068461,779333,509924,279622,102922,17739,782,3
Afghanistan,1988,10383459,472557,2002788,4903208,6913799,5246395,5480248,4785444,423238,1530231,1563028,1337392,1113583,1614350,1064658,777682,508570,280127,102862,17637,779,3
Afghanistan,1989,10673172,489435,2082184,5052384,7126207,5380686,5620784,4905193,439291,1592749,1599499,1370701,1147185,1665396,1087270,791420,518017,287015,105597,18079,805,4
Afghanistan,1990,10694804,493998,2109904,5077301,7160054,5377230,5617499,4900496,444466,1615906,1600229,1367168,1150387,1674244,1086889,781368,513805,286235,105655,18106,810,4
Afghanistan,1991,10745168,500573,2141695,5119305,7213365,5384507,5625858,4907117,450627,1641122,1612946,1364664,1154411,1686921,1090640,771828,510691,286200,106113,18237,817,5
Afghanistan,1992,12057436,565739,2424845,5766046,8113585,6019620,6291385,5488150,510538,1859106,1821630,1519571,1291845,1896301,1220241,854285,567558,320029,119552,20647,927,5
Afghanistan,1993,14003764,660898,2839815,6722018,9442119,6964547,7281741,6354042,598419,2178917,2131706,1750497,1493851,2204858,1414071,979227,654077,370461,139818,24288,1090,5
Afghanistan,1994,15455560,733686,3162197,7452378,10442817,7651708,8003177,6986652,666344,2428511,2374315,1915866,1638070,2434822,1557323,1065382,716780,406967,155430,27183,1220,5
Afghanistan,1995,16418911,781341,3387102,7957593,11117871,8087000,8461313,7391037,713509,2605761,2547224,2023267,1726358,2585793,1651273,1114622,756733,429773,166180,29271,1310,5
Afghanistan,1996,17106600,812995,3551332,8336158,11607323,8379674,8770436,7667147,746659,2738337,2679780,2105046,1781850,2691153,1718346,1143449,783973,445120,174237,30925,1383,6
Afghanistan,1997,17788818,841163,3706025,8716812,12092831,8665268,9071999,7937844,776843,2864862,2814884,2195903,1833689,2793223,1786543,1171851,810233,460208,182209,32588,1455,7
Afghanistan,1998,18493134,867303,3854565,9111376,12593162,8959027,9381751,8215379,804962,2987262,2958061,2298750,1886774,2895755,1858674,1203841,835289,475404,190189,34295,1530,8
Afghanistan,1999,19262854,895539,4005677,9538093,13136494,9284534,9724752,8519511,833259,3110138,3115077,2417339,1947642,3005470,1939081,1243174,861139,491689,198751,36187,1619,8
Afghanistan,2000,19542986,898809,4044487,9716430,13343836,9380030,9826547,8606509,839897,3145678,3193336,2478607,1964708,3036332,1971689,1256153,861541,495073,202165,37212,1674,9
Afghanistan,2001,19688634,894038,4046425,9817924,13458009,9420852,9870699,8634748,838798,3152387,3246270,2525229,1978811,3042963,1992112,1263743,854291,494970,204078,38010,1721,10
Afghanistan,2002,21000258,941149,4280854,10488288,14365919,10031304,10511959,9179506,885718,3339705,3483237,2724197,2120744,3227457,2131886,1346252,899545,524785,218247,41164,1879,11
Afghanistan,2003,22645136,999679,4574403,11313832,15499313,10811842,11331293,9877464,945466,3574724,3767418,2972011,2305766,3461165,2307019,1451498,958962,563715,236002,45091,2075,11
Afghanistan,2004,23553554,1020639,4705370,11758413,16126358,11254198,11795131,10265167,970869,3684731,3922314,3130729,2425646,3581266,2409322,1511624,986258,585104,246037,47662,2212,11
Afghanistan,2005,24411196,1032348,4795376,12111730,16680276,11738147,12299419,10696206,986490,3763028,4043534,3272820,2547608,3727055,2523660,1575352,1011252,605784,255379,50590,2739,46
Afghanistan,2006,25442946,1058386,4912481,12525732,17340328,12331418,12917120,11228102,1005182,3854095,4181472,3431779,2687976,3914320,2660941,1654321,1043980,631641,266723,53964,3254,94
Afghanistan,2007,25903306,1077660,4998547,12872747,17767740,12433297,13030476,11282231,1024331.06,3920887,4301582,3572618,2767018,3887486,2665261,1679259,1053907,647232,273486,54541,2286,83
Afghanistan,2008,26427204,1059313,5052487,13184652,18217464,12630064,13242476,11418893,1046121,3993174,4418640,3713525,2873516,3902988,2681562,1712803,1069373,663147,281355,55901,1831,75
Afghanistan,2009,27385310,1054455,5106637,13506302,18841488,13239480,13878929,11949004,1035738.06,4052182,4538281,3861384,3044384,4101544,2794163,1791500,1106513,685796,293032,59609,2388,80
Afghanistan,2010,28189672,1079439,5162901,13804198,19399496,13722048,14385422,12360111,1029912,4083462,4644058,3997239,3197998,4251221,2867453,1856373,1142218,702472,302999,62335,2353,53
Afghanistan,2011,29249156,1098601,5227315,14116916,20055084,14437897,15132158,13001219,1059168,4128714,4755318,4134283,3379437,4512670,2993785,1947711,1191836,722124,315243,66231,3121,81
Afghanistan,2012,30466484,1135475,5308519,14451009,20769394,15286721,16015337,13780297,1081162,4173044,4872390,4270100,3566275,4843970,3150892,2055972,1248383,746009,329136,70666,4034,138
Afghanistan,2013,31541216,1177473,5433032,14782614,21418574,16000575,16758461,14438203,1116236,4255559,4953291,4396291,3719685,5127008,3271551,2151165,1300465,767896,342330,74168,4193,142
Afghanistan,2014,32716214,1207415,5593466,15125208,22098032,16802816,17590854,15185436,1159612,4386051,5014332,4517410,3872794,5455663,3414055,2257469,1358824,792007,357229,78140,4673,153
Afghanistan,2015,33753500,1238201,5747862,15456437,22708012,17485012,18296928,15818155,1187761,4509661,5083265,4625310,3998778,5732466,3529267,2350849,1413659,814056,371848,81378,4628,133
Afghanistan,2016,34636212,1256664,5894636,15766737,23239372,18038552,18869402,16325871,1216903,4637972,5142552,4729549,4102738,5948136,3617735,2428714,1464517,833677,385801,83944,4140,72
Afghanistan,2017,35643420,1268641,6028737,16081817,23807538,18706224,19561562,16945448,1238498,4760096,5212487,4840593,4222210,6206481,3741917,2517748,1523369,856795,401322,87484,4236,40
Afghanistan,2018,36686788,1290266,6147355,16402093,24377892,19401608,20284670,17596500,1252219,4857089,5334330,4920408,4343114,6468908,3881454,2608343,1586312,883719,416827,91481,4513,23
Afghanistan,2019,37769496,1313684,6262390,16728620,24950588,20127700,21040860,18284280,1274592,4948706,5487694,4978536,4461340,6738758,4039411,2701018,1653460,914688,431683,95602,4901,14
Afghanistan,2020,38972236,1338671,6375097,17072924,25563700,20957368,21899280,19076408,1299717,5036426,5647052,5050775,4584023,7049695,4238417,2804197,1726474,949111,442845,99060,5458,32
Afghanistan,2021,40099460,1368682,6490554,17413008,26140168,21722436,22686412,19801534,1323766,5121872,5807514,5114941,4694495,7322711,4436619,2897810,1796991,981861,449495,100923,5507,39
